,0,1,2,3,4
0,1,"""Mowgli Comes into the Jungle / Mowgli Comes to the Jungle (Part 1)""",Kimio Yabuki,Nobuyuki Fujimoto,"October 2, 1989(1989-10-02)"
1,2,"""The Birth of Wolf-Boy Mowgli / Mowgli Comes to the Jungle (Part 2)""",Fumio Kurokawa,Mami Watanabe,"October 9, 1989(1989-10-09)"
2,3,"""Alexander's Son""",Koji Suda,Mami Watanabe,"October 16, 1989(1989-10-16)"
3,4,"""The Jungle Law""",Takeo Kitahara,Nobuyuki Fujimoto,"October 23, 1989(1989-10-23)"
4,5,"""The New Friends / A New Friend""",Directed by: Shinji TakahashiStoryboarded by: Takeo Kitahara,Nobuyuki Fujimoto,"October 30, 1989(1989-10-30)"
5,6,"""Solitary Kichi / Kichi is Alone""",Junichi Sakata,Nobuyuki Fujimoto,"November 6, 1989(1989-11-06)"
6,7,"""The Cold Fang""",Directed by: Akira ShimizuStoryboarded by: Koji Suda,Nobuyuki Fujimoto,"November 13, 1989(1989-11-13)"
7,8,"""Sorry, Baloo!""",Directed by: Shinji TakahashiStoryboarded by: Shigeto Makino,Nobuyuki Fujimoto,"November 20, 1989(1989-11-20)"
8,9,"""More Precious than the Law""",Directed by: Kazuya MiyazakiStoryboarded by: Hidetoshi Omori,Mami Watanabe,"November 27, 1989(1989-11-27)"
9,10,"""The Lone Wolf Visitor / An Old Wolf Visits""",Directed by: Shigeru YamazakiStoryboarded by: Shigeo Koshi,Nobuyuki Fujimoto,"December 4, 1989(1989-12-04)"
10,11,"""The Devil in the Mind""",Shigeru Abo,Nobuyuki Fujimoto,"December 11, 1989(1989-12-11)"
11,12,"""Adventurous Journey""",Directed by: Shinji TakahashiStoryboarded by: Kenzo Koizumi,Kenji Yoshida,"December 18, 1989(1989-12-18)"
12,13,"""The Hero's Return / Return of the Brave""",Directed by: Shinji TakahashiStoryboarded by: Eiji Okabe,Nobuyuki Fujimoto,"December 25, 1989(1989-12-25)"
13,14,"""Chilly Woods / The Cold Lair""",Directed by: Akira ShimizuStoryboarded by: Susumu Shiraume,Nobuyuki Fujimoto,"January 1, 1990(1990-01-01)"
14,15,"""Human Being""",Directed by: Akira ShimizuStoryboarded by: Chinami Nanba,Nobuyuki Fujimoto,"January 8, 1990(1990-01-08)"
15,16,"""The Damaged Heart""",Directed by: Shigeru YamazakiStoryboarded by: Shigeo Koshi,Kenji Yoshida,"January 15, 1990(1990-01-15)"
16,17,"""Goodbye Mother""",Directed by: Shigeo KoshiStoryboarded by: Chinami Nanba,Saburo Sekiguchi,"January 22, 1990(1990-01-22)"
17,18,"""The Other Jungle""",Directed by: Shigeru YamazakiStoryboarded by: Takeo Kitahara,Saburo Sekiguchi,"January 29, 1990(1990-01-29)"
18,19,"""Going Back to My Own Jungle""",Directed by: Akira ShimizuStoryboarded by: Hidetoshi Omori,Saburo Sekiguchi,"February 5, 1990(1990-02-05)"
19,20,"""Mowgli's Lair""",Directed by: Shigeo KoshiStoryboarded by: Shinichi Tsuji,Kenji Yoshida,"February 12, 1990(1990-02-12)"
20,21,"""The Waterfront Truce""",Directed by: Shigeru YamazakiStoryboarded by: Seiji Okuda,Saburo Sekiguchi,"February 19, 1990(1990-02-19)"
21,22,"""The ""Dreaded"" Came / The Great Fear""",Directed by: Hiroshi JinzenjiStoryboarded by: Takeo Kitahara,Saburo Sekiguchi,"February 26, 1990(1990-02-26)"
22,23,"""The Pride of a Hero""",Directed by: Jiro SaitoStoryboarded by: Shigeo Koshi,Kenji Yoshida,"March 5, 1990(1990-03-05)"
